"STRUCTURE_SMILES","LC50_mmol"
"C1=CC=CC=C1C(C)C",5.26E-02
"C1=CC=CC=C1C(=O)C",1.35E+00
"O=[N+](C1=CC=CC=C1)[O-]",9.67E-01
"C1=C(C(=O)C)C=C(N)C=C1",2.83E+00
"CC1=CC([N+](=O)[O-])=CC=C1",1.87E-01
"CN(C)C1=CC=C(C)C=C1",3.62E-01
"O=[N+](C1=CC=C(C=C1)N)[O-]",9.05E-01
"OC1=CC=C([N+](=O)[O-])C=C1",3.22E-01
"CN(C)C1=CC=C(C=O)C=C1",3.06E-01
"[O-][N+](=O)C1=CC=C([N+]([O-])=O)C=C1",4.22E-03
"CCN(CCO)CC",1.52E+01
"CCC1=CC=CC=C1",9.89E-02
"NCC1=CC=CC=C1",9.52E-01
"O=CC1=CC=CC=C1",9.30E-02
"C1=CC=C(NC)C=C1",9.33E-01
"ON=C1CCCCC1",1.84E+00
"N1=C(C#N)C=CC=C1",6.97E+00
"N1=C(CC)C=CC=C1",3.86E+00
"CC1(C)OCC(CO)O1",1.26E+02
"C1N2CN3CN(C2)CN1C3",3.55E+02
"C1=CC=CC=C1OC2=CC=CC=C2",2.35E-02
"CCNC1=CC(C)=CC=C1",3.66E-01
"CCCN(CCC)CCC",3.55E-01
"OCCN(CCO)CCO",7.91E+01
"C1=CC=CC=C1CCC(C)(C)O",4.04E-01
"C1=CC(C)=CC=C1SSC2=CC=C(C)C=C2",
"OCCN1CCNCC1",4.92E+01
"CN(C)CC1=CC=CC=C1",2.80E-01
"C1(=CC=C(C=C1)O)NC(C)=O",5.39E+00
"NC1=CC=C(CCCC)C=C1",6.80E-02
"CCCCCCCCCC1=CC=C(O)C=C1",6.35E-04
"NC1=CC=C(CCCCCCCCCCCC)C=C1",
"CCC(CCCC)CO",2.17E-01
"ClC1=CC=C(C=O)C=C1",1.56E-02
"N1=C(C)C=CC(CC)=C1",6.69E-01
"CC(=O)CCCN(CC)CC",2.14E+00
"CCOC(=O)CC(=O)OCC",9.18E-02
"OC1=C(C)C=C(C)C=C1",1.36E-01
"CCCCOC(=O)C=CC(=O)OCCCC",2.76E-03
"CCCCOC(=O)CCCCC(=O)OCCCC",1.41E-02
"NC1=CC=C(Br)C=C1",2.76E-01
"CC1=CC=C(C)C=C1",8.35E-02
"OC1=CC=C(C)C=C1",1.53E-01
"NC1=CC=C(C=C1)Cl",2.46E-01
"OC1=CC=C(Cl)C=C1",4.75E-02
"NC1=CC=C(C)C=C1",1.49E+00
"C=CC(=O)OCC(C)C",1.64E-02
"BrCCC",5.47E-01
"C=CC=O",3.03E-04
"ClCCCl",1.37E+00
"ClCCO",6.67E-01
"CCCN",5.21E+00
"CCC#N",2.76E+01
"ClCC#N",1.78E-02
"NCCN",3.66E+00
"C=CCO",5.51E-03
"C(O)C#C",2.64E-02
"CC=NO",1.29E+00
"C[C@](CC(O)C)(C)O",9.05E+01
"CC(C)(C)CC(C)(C)N",1.90E-01
"CC(C)(C)SC(C)(C)C",1.99E-01
"CCCC(=O)C",1.44E+01
"CC(=O)CC(C)C",5.21E+00
"CC(C)OC(C)C",7.69E+00
"CC1=CC=CC=C1",3.68E-01
"N1=CC=C(C)C=C1",4.33E+00
"ClC1=CC=CC=C1",1.50E-01
"C1CCCCC1O",7.03E+00
"O=C1CCCCC1",6.33E+00
"OC1=CC=CC=C1",3.47E-01
"N1=CC(C)=CC=C1",1.55E+00
"CN1CCNCC1",2.30E+01
"N1=C(C)C=CC=C1",9.63E+00
"N1CC(C)NCC1",2.24E+01
"CC(=O)OCCC",5.87E-01
"BrCCCBr",1.04E-02
"BrCCCC",2.68E-01
"CCCCN",3.66E+00
"C=CCC#N",2.71E+00
"NCCCN",1.61E+01
"N#CCC#N",8.48E-03
"COCCN",6.98E+00
"CCNCC",1.17E+01
"N1C=CC=C1",3.13E+00
"C1CCCO1",3.00E+01
"C1=COC=C1",8.96E-01
"CC(C)(C)SSC(C)(C)C",7.68E-03
"CC(=O)CCC(C)C",1.39E+00
"CCOC(=O)CCCCCCCCC(=O)OCC",1.05E-02
"CCCCCC(=O)C",1.15E+00
"CCCCCC",2.90E-02
"ClCCCCCl",4.06E-01
"CCCCCN",2.03E+00
"CCCCC=O",1.50E-01
"C(O)C#CC(O)",6.23E-01
"CCNCCO",1.66E+01
"C1CCCCC1",5.38E-02
"N1=CC=CC=C1",1.26E+00
"C1OCOCO1",6.61E+01
"O=C(CC/C=C(C)/C)C",6.79E-01
"CC(=O)CCCCCC",2.81E-01
"CC(=O)OCCOCC",3.19E-01
"BrCCCCCC",2.09E-02
"CCCCCCN",5.59E-01
"CCCCCCO",9.56E-01
"OCCNCCO",4.48E+01
"OCCOCCO",7.09E+02
"CCCSCCC",1.84E-01
"CCCCCCCN",1.89E-01
"N#CCCCCC#N",1.79E+01
"CCCCCCCO",2.97E-01
"BrCCCCCCCC",4.34E-03
"CCCCCCCCN",4.02E-02
"CCCCCCCCO",1.04E-01
"CCOCCOCCO",1.98E+02
"CCCCCCCCC(=O)O",6.57E-01
"CCCCCCCCCC(=O)C",8.81E-03
"CCCCCCCCCN",1.50E-02
"OCCOCCOCCO",4.59E+02
"CCCCCCCCCCO",1.52E-02
"CCCCCCCCCCCCCO",
"CC(C)OC1=CC=CC=C1OC(=O)NC",4.21E-02
"CC(O)(C)C#C",3.91E+01
"C(Cl)(Cl)(Cl)CO",2.00E+00
"OC(C1=CC=C(C=C1)Cl)(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl",1.67E-03
"C1=CC=CC=C1OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3",2.66E-03
"S(=O)(C)C1=CC=C(OP(=S)(OCC)OCC)C=C1",1.40E-01
"CC(C=NOC(=O)NC)(SC)C",4.52E-03
"O=C(C1=C(C=CC=C1)C(=O)OCC(CCCC)CC)OCC(CCCC)CC",
"CCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC",
"C1=CC=CC(O)=C1C(=O)OC2=CC=CC=C2",5.51E-03
"C1=CC=CC(O)=C1C(=O)OCC",1.22E-01
"OC1=C(Br)C=C(Br)C=C1Br",1.98E-02
"OC1=C(C=C(C=C1)N)[N+](=O)[O-]",2.35E-01
"C1=CC=CC=C1C(=O)C2=CC=CC=C2",8.07E-02
"C1=CC=CC=C1N(CCO)CCO",4.06E+00
"C1=CC(=CC=C1C=O)N(CC)CC",1.35E-01
"OC1=C(C=CC=C1)O",8.37E-02
"ClC1=C(Cl)C=C(Cl)C=C1",1.65E-02
"ClC1=C(C=CC(=C1)Cl)O",4.75E-02
"CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-]",1.33E-01
"O=CC1=CC(OCC)=C(O)C=C1",5.27E-01
"C1(C=O)=CC(OC)=C(O)C=C1",5.51E-01
"CN(C1=CC=CC=C1)C",5.29E-01
"ClC1=CC([N+](=O)[O-])=CC=C1",1.19E-01
"O=C(C(SP(=S)(OC)OC)CC(=O)OCC)OCC",4.27E-02
"NC1=C(Cl)C=C([N+]([O-])=O)C=C1",1.16E-01
"C1(C=O)=CC=C(C(C)C)C=C1",4.47E-02
"C1=CC=CC=C1NC2=CC=CC=C2",2.24E-02
"C1=CC=CC=C1OCCO",2.49E+00
"OC1=CC=C(CC)C=C1",8.51E-02
"CC(C=O)CCC",1.88E-01
"CC(=O)CC(=O)C",1.35E+00
"CCCCCC(=O)OCC",6.17E-02
"CCCC=O",2.04E-01
"CC(=O)OCCCC",1.55E-01
"C1COCCO1",1.17E+02
"CCCCCCCCCCCCN",5.56E-04
"CCCCCCCCCCCCCC=O",
"CCCCOP(=O)(OCCCC)OCCCC",3.56E-02
"O=C(CC(=O)C1)CC1(C)C",8.20E+01
"OC(C)CCl",2.59E+00
"ClC(=C(Cl)Cl)Cl",9.95E-02
"CC(C1=CC=CC=C1)(O)C#C",7.73E-01
"OC1=C(C=C(C=C1C(C)(C)C)C)C(C)(C)C",1.65E-03
"O=S(C1=CC=CC=C1C([N-]2)=O)2=O.[Na+].[O]",8.20E+01
"C1=CC=CC2C3=CC=CC=C3OC1=2",8.92E-03
"C1=CC=CC=C1OC(=O)C2=C(O)C=C(N)C=C2",2.08E-02
"CCN(CC)C(=O)C1=CC=CC(C)=C1",5.75E-01
"CCC([O-])=O.[Na+]",4.99E+01
"NCCN1CCNCC1",1.70E+01
"CCCCOC(=O)CCC(=O)OCCCC",1.94E-02
"CCOC(=O)CCCCC(=O)OCC",8.99E-02
"OCCN",3.39E+01
"CC(=O)OCC",2.61E+00
"N1CC(C)OC(C)C1",3.36E+00
"CCC1=CC(CC)=CC=C1",3.09E-02
"ClCCCCl",9.82E-01
"CCCCCC(O)=O",2.76E+00
"CC(=O)OCCCCCC",3.05E-02
"CCCCOCCCC",2.48E-01
"CCCCCCCCCO",3.95E-02
"CCCCCCNCCCCCC",4.21E-03
"OCCCCCCCC\C=C/CCCCCCCC",
"C1(C=O)=C(O)C(OC)=CC=C1",1.58E-02
"OC1=CC(OC)=CC=C1",5.96E-01
"COC1=CC=C(C=C1)O",8.86E-01
"COC1=CC=C(OC)C=C1",8.47E-01
"C1=COC2=C1C=CC=C2",1.19E-01
"C(CN(C1)C2)N(C1)C2",1.54E+01
"C(CC(CC1CC23)C2)(C1)C3",2.06E-03
"CCOP(OCC)(=S)SCCSCC",9.95E-03
"[O-]C(N1)=NC(C(C(CCC)C)(CC=C)C1=O)=O.[Na+]",9.07E-02
"BrC1=C(C)NC(=O)N(C(C)CC)C1=O",7.12E-01
"OC1=C([N+](=O)[O-])C=CC([N+]([O-])=O)=C1",1.82E-02
"ClC1=C(C=CC(=C1)NC(=O)N(C)C)Cl",6.09E-02
"C1=CC(F)=CC=C1OC2=CC=C(F)C=C2",5.48E-03
"S=P(OC1=NC(=NC(=C1)C)C(C)C)(OCC)OCC",3.07E-02
"FC1=CC=C([N+](=O)[O-])C=C1",2.01E-01
"C(F)(F)(F)C1=CC(C#N)=CC=C1",2.79E-01
"NC1=CC=C(F)C=C1",1.52E-01
"C1(C=O)=C(Cl)C=CC=C1F",5.93E-02
"NC1=C(C(F)(F)F)C=C(F)C=C1",1.65E-01
"C1(C=O)=C(F)C=CC=C1",1.09E-02
"C1=CC=CC(=C1C(F)(F)F)C#N",2.47E-01
"C1(C=O)=CC(C(F)(F)F)=CC=C1",5.31E-03
"CNC1=CC=C(F)C=C1",3.07E-01
"CCCCCCC(=O)CCCCCC",
"O[C@H]1[C@@]([C@@](C)2C)(C)CC[C@H]2C1",4.10E-01
"O=C(CC1C2)C(C2)(C1(C)C)C",1.12E-01
"CC2(C)OC1(C)CCC2CC1",6.61E-01
"O=[C@](O)[C@@]1(C)[C@]([C@]([C@]([H])2CC3)(C)CCC1)([H])CCC2=C\C3=C(C)/C",4.93E-03
"N1=C(C2=CC=CC=C2)NC(C3=CC=CC=C3)=C1C4=CC=CC=C4",
"C1COC2=CC=CC=C12",6.80E-01
"O[C@H]1[C@H](CC2)C[C@H]2C1",2.03E+00
"C1C2C=CC1CC2",1.06E-01
"N1=C(C(=O)O)C=CC=C1C(=O)O",1.93E+00
"N1=CC(C=O)=CC=C1",1.53E-01
"CCCCC(=O)CCCC",2.18E-01
"C=C(C)C(C)=C",8.41E-02
"O=[C@](O)[C@@]3(C)[C@@]1([H])[C@@](CCC3)(C)[C@]2([H])C(C=[C@@]([C@@H](C)C)CC2)=CC1",7.87E-03
"C1=CC=CC=C1C2=CC(=O)C3=CC=CC=C3O2",1.57E-02
"OC1=C(C)C=C(C)C=C1C",9.54E-02
"C1(C#N)=CC=CC=C1C",3.82E-01
"C1(C=O)=C(C)C=CC=C1",4.40E-01
"C1(=CC=CC=C1)C(=O)[O-].[Na+]",3.36E+00
"OC1=C(C)C=C([N+]([O-])=O)C=C1[N+]([O-])=O",8.73E-03
"C1=CC=CC=C1CCCCC",1.15E-02
"O=C(OC(C)(C)C)C",2.82E+00
"ClC1=CC(Cl)=CC=C1",5.46E-02
"Cl\C=C\CCl",2.15E-03
"CCCCSCCCC",2.45E-02
"C1(O)=CC(OC)=CC=C1C(=O)C",4.18E-01
"C1(C=O)=C([N+]([O-])=O)C=CC=C1",9.53E-02
"O=CC1=CC=C([N+](=O)[O-])C=C1",6.68E-02
"CC(=O)C(C)C",1.00E+01
"OC1=C([N+]([O-])=O)C=CC=C1[N+]([O-])=O",2.16E-01
"BrC1=C(Br)C=CC=C1",1.72E-02
"C=CCNC1=CC=CC=C1",2.70E-01
"NC1=CC=C(CC)C=C1",6.02E-01
"CC(C)CC=O",3.77E-02
"CCCCC(=O)C",4.27E+00
"CC=CC=CC",2.43E-01
"CCCCCCCCCCCC(=O)C",1.81E-03
"C1=CC=CC=C1[Sn](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4",
"[H][C@]1(CC2)C(C)(C)CCC[C@@](C)1[C@@H](CC[C@@](O)(C)C=C)C2=C",4.13E-04
"CC[Sn](CC)(CC)CC",4.68E-05
"CC(C)C(C)N",3.26E+00
"CC(C)C(O)C(C)C",1.40E+00
"C1=CC=CC=C1N(C2=CC=CC=C2)C3=CC=CC=C3",
"C1=CC=CC=C1N(C2=CC=CC=C2)C=O",1.54E-01
"CCOC(=O)C(CC1=CC=CC=C1)C(=O)OCC",2.17E-02
"OC1=C(Br)C(Br)=C(Br)C(Br)=C1Br",1.90E-04
"OC1=C(I)C=C(I)C=C1I",2.56E-03
"C1(C=O)=C(OC)C=C(OC)C=C1",1.21E-01
"OC1=C(NC(=O)C)C=CC=C1",1.79E-01
"NC1=C(Cl)C=C(C)C=C1",2.54E-01
"NC1=C([N+]([O-])=O)C=C(OCC)C=C1",1.43E-01
"C1=CC([N+](=O)[O-])=CC=C1C(=O)OC",1.31E-01
"C1=CC([N+]([O-])=O)=CC=C1C(=O)N",8.01E-01
"C1=CC=CC=C1OC2=CC=C([N+](=O)[O-])C=C2",1.23E-02
"C1=CC=C(CS(=O)CC2=CC=CC=C2)C=C1",3.48E-01
"OC1=CC(NC(=O)C)=CC=C1",7.48E+00
"OCCN1CCOCC1",2.07E+01
"ClCC1=CC=C(CCl)C=C1",2.23E-04
"IC1=CC=C(I)C=C1",
"O1C(C)=CC=C1C",7.40E-01
"ClCCCCCCl",1.79E-01
"BrCCCCCCC",8.21E-03
"CCCSSCCC",1.70E-02
"N#CCCCCCCC#N",3.88E+00
"NC1=C(Cl)C(Cl)=C(Cl)C=C1",1.85E-02
"C1(C=O)=C(O)C=CC(Cl)=C1",4.92E-03
"OC1=CC=C(CCC)C=C1",8.08E-02
"C1(C=O)=C(F)C(F)=C(F)C(F)=C1F",5.61E-03
"C(Cl)(Cl)C(=O)N",1.88E+00
"CCCCCCC(C)N",4.02E-02
"CC(=O)CCCCCCCC",3.09E-02
"CCCCCOCCCCC",1.98E-02
"CC1=COC=N1",1.67E+01
"CC1=NC=CN1",3.48E+00
"O=C1C3CC2CC1CC(C3)C2",4.05E-01
"CCCCCCC1OC(=O)CC1",1.06E-01
"C1(C=O)=C(O)C=C(OC)C=C1OC",1.47E-02
"C1=C(Cl)C(Cl)=CC=C1NC(=O)CC",3.94E-02
"OC1=C(C=C(C=C1C(C)(C)C)C(C)(C)C)C(C)(C)C",2.32E-04
"C=CC(Cl)C(Cl)",6.54E-02
"C(=O)N(CCCC)CCCC",5.68E-01
"C(O)C#CC",1.44E-01
"CC(C)=CC=C(C)C",3.43E-02
"NC13CC(CC(C3)C2)CC2C1",1.65E-01
"N1=C(O)C(C#N)=C(C)C=C1C",1.06E+00
"NC1=C(F)C(F)=C(F)C(F)=C1F",2.03E-01
"ClC1=CC=C(SCSP(=S)(OCC)OCC)C=C1",7.00E-04
"C1=CC=CC=C1P(=O)(C2=CC=CC=C2)C3=CC=CC=C3",1.93E-01
"C1=CC(N(C)C)=CC=C1P(=O)(C2=CC=C(N(C)C)C=C2)C3=CC=C(N(C)C)C=C3",
"C=CC(=O)OCCO",4.14E-02
"C#CC(O)CCCCC",3.27E-03
"CCCCCCCC(=O)C",1.07E-01
"Cl[C@@H]1CCCC[C@H]1Cl",1.20E-01
"C1=CC=CC=C1OC2=CC=C(O)C=C2",2.66E-02
"C=C(C)C(=O)OCCO",1.74E+00
"C1(Br)=CSC=C1",3.80E-02
"O=CC1=C(Cl)C=C(Cl)C=C1",1.03E-02
"C1=CC=CC=C1SSC2=CC=CC=C2",5.04E-04
"C1(=CC=CC=C1)/C=C/C=C/C2=CC=CC=C2",
"O=C(OCC)C1=CC(N)=CC=C1.OS(C)(=O)=O",3.02E-01
"C(F)(F)(F)C(O)C(F)(F)(F)",1.45E+00
"C=CC(O)CC=C",3.88E-01
"C(O)CC#C",5.15E-01
"CC\C=C/CCO",3.80E+00
"CC/C=C/CCO",2.71E+00
"CN1C(C(=O)C)=CC=C1",1.28E+00
"N1=CC=C(C2=CC=CC=C2)C=C1",1.04E-01
"C1=CC=CC=C1S(=O)C2=CC=CC=C2",4.32E-01
"C1=CC=CC=C1C2=CC=C(C3=CC=CC=C3)O2",
"C=CC(=O)OCC(O)C",2.60E-02
"N1=C(N)C=CC(Br)=C1",1.02E+00
"CCOP(=O)(CC1=CC=CC=C1)OCC",1.47E+00
"CCCCCCCCCCCC(=O)N",
"N1=CC=C(C(=O)C)C=C1",1.39E+00
"C1=CC(Cl)=CC=C1C(=O)OC",6.40E-02
"CCCCOC1=CC=CC=C1",3.80E-02
"C1=CC(C#N)=CC=C1C(=O)OC",2.90E-01
"OC1=C(O)C(Cl)=C(Cl)C(Cl)=C1Cl",5.12E-03
"C1=C(C(=O)CBr)C(OC)=CC=C1OC",2.55E-03
"CCCC[Sn](CCCC)(CCCC)CCCC",1.30E-04
"C#CC(C)(O)C(C)C",1.83E+00
"C1=CC=C2C3=CC=CC=C3N(C2=C1)C=C",1.66E-05
"C1=C(N)C=CC=C1OCC2=CC=CC=C2",4.59E-02
"O=C(NC)OC1=CC=CC(C2)=C1OC2(C)C",3.81E-03
"CC(OC)(C)C",7.62E+00
"C=CCCCCCCC=C",2.10E-03
"C1=CC(O)=CC=C1/N=N/C2=CC=CC=C2",6.00E-03
"C1=C(I)C(O)=C(I)C=C1C#N",1.83E-02
"C1=C(Br)C(O)=C(Br)C=C1C#N",4.55E-02
"O=[C@](O)[C@@]3(C)[C@@]2([H])[C@@](CCC3)(C)C1=C(CC2)C=[C@@]([C@@H](C)C)C=C1",6.99E-03
"C=CCC1=CC=CC=C1O",1.12E-01
"C1(C=O)=C(O)C=CC(Br)=C1",6.46E-03
"C=C(CCl)C(Cl)",1.52E-03
"C1=C(Cl)C(O)=C(Cl)C=C1C#N",1.29E-01
"CCCCOC(=O)C1=CC=C(C(=O)OCCCC)C=C1",2.12E-03
"C1=CC(O)=CC=C1OC2=CC=C(O)C=C2",2.86E-02
"C1(Cl)=CC=CC(Cl)=C1C(=O)N",2.47E+00
